Name,Gender,Department,Salary,Location,Rating
Pennie Walmsley,Male,Support,104470,Lagos,Not Rated
Virge Garfield,Male,Training,110890,Abuja,Poor
Rebecca Shillan,Male,Research and Development,,Abuja,Good
Myrilla Mercik,Female,Training,96660,Kaduna,Average
Giacobo Donke,Male,Services,118360,Kaduna,Average
Barbara-anne Kenchington,Female,Support,88030,Abuja,Average
Aida Bleacher,Male,Product Management,87810,Abuja,Not Rated
Cly Vizard,Male,Business Development,51520,Abuja,Average
Aleksandr Botha,Male,Sales,60260,Abuja,Not Rated
Evangelina Lergan,Male,Support,61210,Kaduna,Average
Maritsa Marusic,Male,Research and Development,52750,Kaduna,Average
Tamar MacGilfoyle,Male,Product Management,47270,Kaduna,Average
Chancey Dyos,Male,Sales,118060,Kaduna,Good
Isaak Rawne,Male,Marketing,37360,Lagos,Average
Gideon Hehir,Female,Business Development,66510,Kaduna,Average
Irena Trousdell,Female,Marketing,29530,Kaduna,Very Poor
Gino Groome,Female,Research and Development,60440,Lagos,Very Good
Lamond Douthwaite,Male,Engineering,90530,Lagos,Very Poor
Ebonee Roxburgh,Male,Training,67950,Kaduna,Very Good
Nathanial Brounfield,Male,Accounting,105120,Kaduna,Average
Mallorie Waber,Male,Training,60570,Lagos,Good
Ewart Laphorn,Female,Training,119110,Kaduna,Good
Hilliary Roarty,Male,Services,104770,Kaduna,Poor
Putnem Manchester,Male,Sales,70360,Lagos,Average
Lanie Gatlin,Female,Support,45110,Abuja,Not Rated
Michel Jados,Male,Research and Development,,Abuja,Very Poor
Lezlie Philcott,Female,Research and Development,,Lagos,Not Rated
Sharl Bendson,Female,Business Development,33630,Abuja,Poor
William Reeveley,Male,Training,53870,Abuja,Good
Granville Stetson,Female,Engineering,111190,Lagos,Average
Mirna Etoile,Female,Legal,29970,Kaduna,Average
Freddie Johnikin,Male,Support,64960,Lagos,Average
Natalee Craiker,Male,Product Management,111230,Abuja,Average
Mariette Daymont,Female,Sales,99530,Abuja,Average
Aldrich Glenny,Male,Business Development,90880,Abuja,Not Rated
Lonny Caen,Female,Research and Development,35980,Lagos,Very Good
Murial Ickovici,Female,Business Development,72500,Kaduna,Good
Kath Bletsoe,Male,Marketing,65700,Abuja,Very Poor
Gayla Blackadder,Female,Services,109170,Lagos,Good
Adela Dowsett,Male,Support,95020,Lagos,Average
Addi Studdeard,Female,Product Management,72500,Abuja,Poor
Sharron Petegree,Female,Product Management,87290,Kaduna,Good
Eleonore Airdrie,Female,Engineering,97110,Abuja,Average
Rhiamon Mollison,Female,Research and Development,59430,Lagos,Average
Karon Oscroft,Male,Marketing,112120,Lagos,Average
Edi Hofton,Male,Research and Development,28160,Abuja,Not Rated
Derk Bosson,Female,Legal,75870,Lagos,Average
Lorrie Derycot,Female,Support,93270,Lagos,Average
Hartwell Pratchett,Female,Training,42730,Lagos,Average
Van Ruseworth,Female,Services,80610,Abuja,Average
Inge Creer,Female,Services,69060,Lagos,Very Poor
Elwira Lyddiard,Male,Product Management,31280,Abuja,Average
Kincaid Hellicar,Male,Business Development,96610,Kaduna,Very Good
Maximo Guirard,Female,Business Development,37020,Kaduna,Average
Alta Kaszper,Male,Training,54970,Lagos,Average
Lamar Blewitt,Male,Services,41910,Lagos,Poor
Hector Isard,Male,Support,116970,Abuja,Very Good
Barbara-anne Kenchington,Female,Support,88030,Kaduna,Very Good
Judi Cosgriff,Female,Human Resources,86390,Abuja,Good
Janean Gostage,Male,Services,81150,Abuja,Not Rated
Delphine Jewis,Female,Accounting,71820,Kaduna,Average
Matias Cormack,Male,Research and Development,85460,Kaduna,Average
Rogers Rosenthaler,Female,Business Development,91190,Lagos,Poor
Clarine Shambrooke,,Support,93160,Lagos,Average
Thedrick Rogeon,Male,Marketing,110950,Kaduna,Poor
Roanne Phizacklea,Female,Product Management,35990,Abuja,Average
Devinne Tuny,Male,Engineering,39970,Kaduna,Average
Martelle Brise,Male,Training,79520,Kaduna,Average
Dino Wooderson,Male,Legal,52120,Abuja,Poor
Effie Vasilov,Male,Support,60010,Lagos,Average
Jermaine Steers,Female,Accounting,35440,Abuja,Good
Saunders Blumson,,Legal,56370,Abuja,Average
Elliot Revelle,Male,Legal,,Abuja,Average
Mora Innett,Female,Legal,105610,Lagos,Poor
Mahalia Larcher,Male,Accounting,113280,Abuja,Good
Dotty Strutley,Female,Engineering,41980,Lagos,Average
Margy Elward,Male,Business Development,103670,Lagos,Average
Danica Nayshe,Female,Services,89690,Kaduna,Good
Shari Pickston,Male,Legal,96320,Lagos,Not Rated
Merrilee Plenty,Female,Research and Development,87620,Abuja,Good
Romona Dimmne,Female,Research and Development,48250,Kaduna,Poor
Lark Ironmonger,Male,Marketing,85780,Abuja,Poor
Aube Chadderton,Female,Human Resources,,Lagos,Average
Caritta Searl,Male,Sales,54010,Kaduna,Poor
Ernestus O'Hengerty,Female,Research and Development,31020,Abuja,Average
Camilla Castle,Female,Product Management,75480,Kaduna,Average
Bette-ann Leafe,Male,Human Resources,93500,Abuja,Average
Aurelia Stanners,Female,Services,98630,Lagos,Good
Shelby Buckland,Male,Services,76390,Lagos,Average
Barr Faughny,Female,Marketing,68010,Abuja,Average
Farris Ditchfield,Male,Human Resources,58030,Kaduna,Good
Gerald Caple,Male,Training,59300,Kaduna,Good
Grier Kidsley,Female,Product Management,51800,Abuja,Average
Yves Pawlik,Male,Accounting,57930,Abuja,Very Good
Korney Bockings,Male,Engineering,40530,Lagos,Average
Stephan Bussel,Male,Research and Development,48290,Kaduna,Average
Caron Pleven,Female,Human Resources,,Abuja,Average
Jedd Moretto,Male,Support,63720,Kaduna,Very Good
Verney Sloegrave,Male,Sales,84500,Kaduna,Average
Nerita Mycock,Male,Accounting,67430,Kaduna,Average
Mella Northam,Male,Support,109120,Kaduna,Not Rated
Thedrick Bothwell,Male,Business Development,69760,Kaduna,Average
Georgianne Archbutt,Female,Services,45600,Kaduna,Not Rated
Thorvald Milliken,Female,Business Development,33030,Lagos,Good
Aileen McCritchie,Male,Business Development,80170,Lagos,Average
Drusy MacCombe,Male,Training,43510,Kaduna,Average
Cathyleen Hurch,Female,Sales,49390,Lagos,Average
Jannel Labb,Female,Research and Development,47910,Kaduna,Average
Cheryl Mantz,Male,Sales,35740,Kaduna,Good
Madlen Ashburner,Male,Support,42240,Abuja,Very Good
Colly Littledike,Female,Services,117150,Lagos,Average
Karyn Creeghan,Male,Engineering,36540,Kaduna,Good
Edgard Irving,,Research and Development,87290,Kaduna,Good
Cyril Medford,Female,Research and Development,85720,Abuja,Average
Kikelia Ellor,,Engineering,34620,Kaduna,Very Good
Dael Bugge,Male,Training,62690,Lagos,Poor
Joyce Esel,Male,Sales,101390,Kaduna,Average
Ferrell Skepper,Female,Research and Development,30250,Kaduna,Average
Hannis January,Male,Business Development,29530,Lagos,Not Rated
Pierson Measham,Male,Business Development,103160,Kaduna,Good
Xylina Pargetter,Female,Legal,109790,Kaduna,Average
Aretha Ettridge,Female,Accounting,33760,Abuja,Average
Joshia Farris,Female,Legal,36740,Kaduna,Average
Cathi Delgardo,Male,Product Management,111910,Abuja,Not Rated
Mabel Orrow,Male,Product Management,31240,Abuja,Poor
Alexandros Rackley,Female,Legal,75730,Kaduna,Not Rated
Mickie Dagwell,Male,Engineering,50860,Abuja,Not Rated
Mariette Daymont,Female,Sales,99530,Lagos,Not Rated
Win Arthurs,Female,Support,43200,Abuja,Very Good
Marni Jull,Female,Services,84200,Abuja,Good
Sandy Cadden,Female,Legal,95980,Lagos,Average
Wyn Treadger,Female,Business Development,69190,Kaduna,Good
Marney O'Breen,Female,Product Management,65920,Kaduna,Good
Westbrook Brandino,Male,Legal,113620,Lagos,Poor
Sandi Labat,Male,Sales,60140,Abuja,Average
Leilah Yesinin,Female,Research and Development,92450,Kaduna,Not Rated
Lincoln Greatex,Male,Human Resources,34650,Abuja,Average
Patti Dradey,Male,Services,84740,Lagos,Average
Oona Donan,Female,Business Development,88360,Lagos,Average
Burtie Moulden,Female,Services,116220,Lagos,Poor
Mathian MacMeeking,Female,Services,45060,Lagos,Average
Reg MacMichael,Male,Services,106890,Kaduna,Average
Ignacius Losel,Male,Legal,28480,Kaduna,Poor
Tonia Moules,Female,Business Development,,Abuja,Good
Joey Keedwell,Female,Marketing,107440,Kaduna,Poor
Clo Jimpson,Male,Legal,57620,Abuja,Good
Bryant Scamp,Female,Human Resources,29810,Kaduna,Average
Mick Titman,Male,Training,105330,Lagos,Poor
Trudie Couch,Female,Legal,43110,Lagos,Average
Cyndia Skedge,Male,Support,52630,Abuja,Average
Francoise Godbold,Male,Sales,46350,Kaduna,Average
Staford Brood,Female,NULL,39800,Kaduna,Good
Filmore Fitzhenry,Male,Human Resources,108170,Kaduna,Not Rated
Berna Dubery,Male,Services,69730,Kaduna,Very Poor
Gerrard Doorey,Male,Product Management,110200,Abuja,Average
Hiram Merkle,Male,Legal,116090,Kaduna,Not Rated
Zebulon Allmen,,Business Development,52140,Abuja,Average
Kingsley Hagard,Male,Engineering,32810,Kaduna,Average
My Hanscome,Male,Sales,59430,Lagos,Average
Eldredge MacClure,Male,Legal,46990,Kaduna,Average
Pauletta Falkus,Male,Sales,33560,Kaduna,Average
Deck McCallion,Male,Sales,33890,Abuja,Average
Miguel Woolner,Male,Training,51740,Kaduna,Poor
Yolande O'Dare,Female,Accounting,51650,Abuja,Good
Kit Battlestone,Female,Research and Development,115980,Abuja,Good
Glennis Fussen,Female,Sales,58370,Kaduna,Good
Rhiamon Mollison,Female,Research and Development,59430,Abuja,Average
Theresita Chasmer,Female,Product Management,106670,Lagos,Average
Pippy Shepperd,Female,Accounting,44850,Kaduna,Very Good
Petronella Marusik,Male,Accounting,75600,Abuja,Average
Andria Kimpton,Male,Product Management,69120,Abuja,Average
Jarad Barbrook,Female,Human Resources,31200,Abuja,Very Poor
Dulsea Folkes,Female,Services,42160,Lagos,Very Good
Herschel Wareham,Male,Services,110830,Kaduna,Average
Skip Morkham,Female,Marketing,83180,Kaduna,Average
Merrilee Plenty,Female,Research and Development,87620,Abuja,Very Good
Dayle O'Luney,Female,Research and Development,46750,Abuja,Good
Gray Seamon,Female,Business Development,78540,Kaduna,Average
Krysta Elacoate,Male,Human Resources,106930,Abuja,Very Poor
Abramo Labbez,Female,Research and Development,77000,Lagos,Average
Faun Rickeard,Male,Product Management,74920,Lagos,Average
Jamesy O'Ferris,Male,Accounting,36550,Kaduna,Average
Fanchon Furney,Male,Accounting,95950,Abuja,Average
Pate Beardsley,Male,Services,85880,Lagos,Very Good
Grady Crosgrove,,Sales,77910,Kaduna,Average
Darcy Brewitt,Male,Human Resources,116670,Kaduna,Average
Foss Asquez,Male,Support,92190,Kaduna,Not Rated
Gilda Richen,Female,Support,71920,Abuja,Poor
Antonino Forsdicke,Male,Product Management,66370,Abuja,Average
Jobie Basili,Female,Sales,39340,Kaduna,Good
Everard Borer,Female,Marketing,,Abuja,Average
Anni Izzard,Male,Human Resources,103490,Abuja,Good
Bebe Pollicott,Female,Legal,87740,Kaduna,Average
Julian Andrassy,Female,Marketing,113980,Lagos,Poor
Shell O'Griffin,Female,Sales,,Lagos,Average
Dionne Garrish,Female,Engineering,41600,Abuja,Good
Gilles Jaquet,Female,Accounting,76300,Kaduna,Good
Alexis Gotfrey,Male,Engineering,114470,Lagos,Very Good
Xavier Filipic,Female,Marketing,31050,Kaduna,Good
Liane Bedburrow,Female,Training,76620,Abuja,Average
Meara Darrington,Male,Engineering,76190,Abuja,Poor
Genevra Friday,Female,Research and Development,50450,Lagos,Average
Penni Patemore,Male,Services,29330,Kaduna,Average
Yanaton Wooster,Male,Marketing,76930,Abuja,Average
Hedvige Stelfox,Female,Human Resources,33800,Abuja,Average
Tammy Backson,Female,Marketing,44820,Abuja,Average
Delinda Snozzwell,,Engineering,67010,Abuja,Good
Inger Chapelhow,Female,Research and Development,84310,Lagos,Average
Arty Duigan,Male,Legal,108600,Abuja,Very Good
Nani Brockley,Male,Product Management,47000,Abuja,Good
Curtice Advani,Male,Product Management,59810,Lagos,Average
Leela Eckart,Male,Legal,90340,Kaduna,Average
Krystal Lambswood,Female,Training,41600,Kaduna,Poor
Cristal Demangeot,Female,Sales,72350,Kaduna,Poor
Jori Ashleigh,Male,Legal,64270,Abuja,Average
Leslie Baruch,Female,Accounting,103990,Kaduna,Very Good
Helene Bouts,Male,Sales,70380,Lagos,Good
Eleni O'Quin,Male,Legal,89020,Lagos,Average
Alic Bagg,Male,Legal,113750,Kaduna,Average
Maible Azemar,Male,Accounting,,Kaduna,Average
Abran Danielsky,Female,Engineering,32720,Kaduna,Average
Halette Yesenev,Male,Services,61920,Kaduna,Average
Cleveland Pottiphar,Female,Marketing,74600,Lagos,Very Good
Osborn Pawle,Male,Training,38030,Abuja,Average
Chas Happel,Female,Services,30940,Kaduna,Very Poor
Roth Bourget,Male,Services,28870,Kaduna,Average
Maisie Shotboulte,Female,Marketing,71210,Abuja,Very Good
Felita Whitloe,Male,Training,63450,Kaduna,Good
Cindi McDuffy,Female,Services,87930,Abuja,Very Poor
Murry Dryburgh,Male,Research and Development,69070,Abuja,Average
Dorise Labat,Male,Business Development,101610,Kaduna,Average
Hephzibah Summerell,Female,Services,28310,Abuja,Average
Alyosha Riquet,Male,Legal,89840,Abuja,Very Good
Maximo Ungerecht,Male,Support,96250,Lagos,Average
Lezlie Balmann,Male,Product Management,112460,Kaduna,Poor
Benny Karolovsky,,Human Resources,115440,Abuja,Average
Gretchen Callow,Female,Training,33920,Kaduna,Average
Candace Hanlon,Male,Support,46280,Lagos,Average
Oby Sorrel,Female,Support,58940,Kaduna,Average
Cecilia Marshalleck,Female,Marketing,118980,Abuja,Not Rated
Antonetta Coggeshall,Male,Sales,96750,Kaduna,Average
Purcell Le Pine,,Legal,101220,Kaduna,Good
Archibald Dyzart,Male,Product Management,63020,Abuja,Average
Lil Ibberson,Male,Business Development,75920,Kaduna,Good
Karita Vasyanin,Male,Legal,93080,Lagos,Average
Joaquin McVitty,Male,Sales,68860,Lagos,Good
Collen Dunbleton,Male,Engineering,118980,Abuja,Poor
Alysa Wankling,,Legal,106460,Lagos,Good
Ardella Dyment,Female,Business Development,70650,Kaduna,Good
Ryun Fasset,Male,NULL,101120,Kaduna,Very Good
Rodina Drinan,Female,Sales,77050,Abuja,Good
Louise Lamming,Female,Sales,41930,Abuja,Poor
Marga Lorenzo,Female,Legal,89360,Abuja,Good
Alvie Keming,Female,Legal,37840,Kaduna,Poor
Sheff Gerdts,Male,Business Development,89160,Abuja,Average
Josie Barnson,Female,Training,74110,Kaduna,Very Good
Petey Probey,Male,Services,31630,Kaduna,Poor
Shelbi Aldin,Female,Research and Development,40910,Abuja,Poor
Estell Kingsland,Male,Sales,32190,Kaduna,Average
Lea Chaplin,Female,Human Resources,73490,Kaduna,Poor
Onofredo Hassan,Male,Product Management,52220,Kaduna,Average
Hyacinthie Braybrooke,Female,Support,68900,Abuja,Average
Agnes Collicott,Female,Sales,83750,Abuja,Average
Margarete Blasing,Male,Support,110970,Kaduna,Not Rated
Patience Noot,Female,Business Development,49520,Abuja,Average
Charmane Heistermann,Female,Business Development,86560,Kaduna,Average
Jamal Beagen,Female,Support,35830,Kaduna,Average
Brigid Jeffrey,Female,Support,53910,Kaduna,Good
Nelli Schoolfield,Female,Engineering,109870,Kaduna,Average
Abigael Basire,Male,Engineering,61620,Abuja,Average
Anjanette Ferre,,Human Resources,67960,Abuja,Average
Mackenzie Hannis,Female,Training,57000,Abuja,Very Poor
Ambros Murthwaite,Male,Sales,70610,Lagos,Average
Lek Scamaden,Female,Training,51860,Abuja,Good
Jehu Rudeforth,Female,Engineering,60130,Abuja,Average
Bert Yaakov,Male,Research and Development,72040,Kaduna,Poor
Bordy Yatman,Female,Product Management,108450,Lagos,Good
Georgie Caress,Male,Marketing,58260,Abuja,Average
Mollie Hanway,Male,NULL,112650,Lagos,Average
Krysta Elacoate,Male,Human Resources,106930,Kaduna,Average
Jolynn Lumbley,,Research and Development,70020,Abuja,Average
Gwendolyn Chrippes,Male,Engineering,,Abuja,Good
Blythe Clipston,Female,Human Resources,35670,Kaduna,Average
Sisely Hatchman,Female,Sales,,Kaduna,Average
Alicea Pudsall,Male,Accounting,67630,Abuja,Average
Karee Ruslinge,Female,Human Resources,82300,Kaduna,Not Rated
Wilone O'Kielt,Female,Business Development,114870,Lagos,Not Rated
Justino Chapiro,Male,Sales,71030,Lagos,Average
Maritsa Marusic,Male,Research and Development,52750,Abuja,Average
Sisely Gatsby,Female,Support,85670,Kaduna,Average
Shantee D'Antonio,Female,Product Management,,Kaduna,Good
Blaire Ruckman,Male,Business Development,61700,Kaduna,Average
William Coveny,Male,Legal,66140,Abuja,Good
Packston Joanic,Male,Marketing,51860,Kaduna,Good
Joana Bartocci,Male,Human Resources,52670,Abuja,Average
Sile Whorton,Female,Legal,61210,Kaduna,Not Rated
Billi Fellgate,Female,Business Development,68980,Kaduna,Average
Franchot Crocken,Female,Accounting,29610,Abuja,Average
Cletus McGarahan,Female,Engineering,114430,Lagos,Good
Callie Duckels,Male,Product Management,53760,Abuja,Average
Roselle Wandrach,Male,Sales,91310,Abuja,Average
Lishe Casemore,Male,Services,117840,Kaduna,Average
Garey Bird,Female,Product Management,31830,Lagos,Average
Toby Micklewright,Male,Legal,32980,Lagos,Not Rated
Dell Molloy,Male,Engineering,47360,Abuja,Poor
Fidela Dowey,Female,Engineering,86740,Lagos,Very Good
Emmanuel Westrey,Female,Support,87400,Kaduna,Average
Abigael Basire,Male,Engineering,61620,Lagos,Poor
Melodie Torresi,Female,Business Development,75090,Lagos,Average
Dewie Stodart,Male,Accounting,78020,Kaduna,Average
Fred Dudeney,Male,Services,88690,Abuja,Very Good
Giffer Berlin,Female,Research and Development,92340,Kaduna,Good
Bealle Glentworth,Male,NULL,99480,Abuja,Poor
Van Tuxwell,Female,Business Development,80700,Abuja,Poor
Sarajane Scourge,Female,Business Development,58830,Abuja,Poor
Rose Shurrocks,Female,Research and Development,32140,Kaduna,Good
Mata Fishley,Male,Accounting,102520,Abuja,Poor
Irvine Blenkin,Male,Human Resources,79590,Abuja,Very Poor
Wald Bountiff,Female,Support,28970,Lagos,Very Good
Leonerd Jiru,Female,Marketing,,Lagos,Not Rated
Hinda Label,Female,Human Resources,92700,Kaduna,Average
Irwin Kirsche,Female,Accounting,36150,Kaduna,Poor
Sile Whorton,Female,Legal,61210,Abuja,Average
Jill Shipsey,Male,Accounting,52960,Lagos,Average
Nerissa Kavanagh,Male,Training,84170,Lagos,Not Rated
Anabal Cooke,Female,Product Management,31920,Kaduna,Average
Ava Whordley,Female,Product Management,104210,Abuja,Very Good
Laney Thowless,Male,Product Management,,Kaduna,Good
Ansley Gounel,Female,Product Management,38440,Abuja,Poor
Cletus McGarahan,Female,Engineering,114430,Kaduna,Very Good
Althea Bronger,Male,Product Management,104340,Kaduna,Poor
Orlando Gorstidge,Male,Marketing,40750,Lagos,Very Poor
Robbert Mandrier,Female,Training,98020,Abuja,Very Good
Twila Roantree,Female,Sales,96620,Lagos,Poor
Archibald Filliskirk,Male,Research and Development,40400,Abuja,Very Good
Denni Wiggans,Male,Product Management,81220,Lagos,Poor
Pyotr Lightewood,Male,Training,33840,Lagos,Not Rated
Shari McNee,Male,Research and Development,75880,Lagos,Average
Issiah Cradick,Male,Engineering,81380,Lagos,Not Rated
Nollie Courteney,Male,Research and Development,71490,Abuja,Not Rated
Tadio Dowdle,Female,Product Management,91930,Kaduna,Average
Ondrea Banfield,Female,Engineering,107790,Kaduna,Average
Asia Jerson,Male,Services,,Kaduna,Very Good
Cornie Arstall,Female,Product Management,69970,Abuja,Average
Jeane Blaszczak,Female,Engineering,44300,Lagos,Poor
Hogan Iles,Female,Accounting,114180,Lagos,Very Good
Saundra O'Connel,Male,Human Resources,85330,Abuja,Average
Malva Iacovacci,Female,NULL,65130,Abuja,Average
Rosaline Wenderott,Female,Sales,36820,Abuja,Good
Bobina Teale,Male,Marketing,116890,Kaduna,Average
Ruby Cracie,Male,Research and Development,78710,Kaduna,Poor
Sissy Muehle,Female,Accounting,86470,Kaduna,Average
Lonny Caen,Female,Research and Development,35980,Lagos,Good
Itch Tinklin,Female,Support,77110,Abuja,Average
Sibyl Dunkirk,Female,Product Management,86570,Kaduna,Very Poor
Brodie Grimstead,Male,Business Development,117850,Kaduna,Good
Amitie Mawson,Female,Marketing,116500,Lagos,Not Rated
Dane Wudeland,Female,Accounting,80030,Kaduna,Poor
Oby Sorrel,Female,Support,58940,Kaduna,Average
Yvette Bett,Male,Human Resources,76320,Lagos,Good
Ianthe Sayre,Male,Support,110730,Abuja,Very Good
Jacklyn Andrioletti,Female,Training,86990,Abuja,Poor
Eliza Hoggan,Female,Legal,,Lagos,Average
Conchita Soden,Male,Marketing,74410,Abuja,Good
Reggie Taylerson,Male,Marketing,87610,Lagos,Good
Leslie Cardoso,Female,Business Development,103340,Abuja,Good
Milton Lilie,Female,Business Development,46470,Kaduna,Average
Aeriell Cuell,Male,Legal,108290,Abuja,Very Poor
Anne-corinne Daulby,Male,Engineering,78640,Lagos,Good
Lisle Danahar,,Sales,75990,Kaduna,Average
Bryana Loyns,Male,Sales,55280,Kaduna,Average
Anjela Spancock,,Accounting,98010,Lagos,Average
Daisie McNeice,Male,Human Resources,50310,Kaduna,Average
Jillana Gabbitis,Male,Marketing,91360,Kaduna,Average
Roddy Speechley,Male,Accounting,115920,Abuja,Good
Oran Buxcy,Female,Engineering,56870,Lagos,Poor
Beverie Moffet,Female,Support,75970,Abuja,Very Good
Novelia Pyffe,Male,Accounting,52270,Kaduna,Good
Dare Tully,Male,Business Development,39780,Lagos,Not Rated
Lilyan Klimpt,Male,Services,58960,Lagos,Average
Jo-anne Gobeau,Female,Training,37900,Abuja,Good
Sheff Gerdts,Male,Business Development,89160,Lagos,Good
Florinda Crace,Female,Sales,45510,Abuja,Good
Dominic Ortler,Female,Product Management,66610,Abuja,Average
Cathrin Yanuk,Male,Sales,44120,Lagos,Very Poor
Austine Littlewood,Female,Services,32270,Abuja,Average
Alford Gerardi,Female,Engineering,37130,Lagos,Not Rated
Cullie Bourcq,Female,Sales,45590,Abuja,Good
Emanuel Beldan,Male,Accounting,94070,Abuja,Average
Danica Nayshe,Female,Services,89690,Kaduna,Not Rated
Hildagard Reece,Female,Services,41220,Lagos,Average
Kai Ryder,Female,Accounting,119930,Lagos,Average
Alfred Peplay,Female,Human Resources,60580,Kaduna,Not Rated
Jeannie Petracco,Female,Engineering,94820,Abuja,Average
Brad Gumb,Male,Accounting,38830,Kaduna,Good
Bonnie Newland,Male,NULL,91450,Abuja,Average
Reinald Franken,Female,Engineering,28870,Abuja,Very Good
Carolyn Attack,Female,Marketing,70760,Lagos,Good
Bogey Hitcham,Male,Product Management,106170,Abuja,Good
Naoma Cruse,Male,Research and Development,71540,Kaduna,Average
Oates Dinan,Female,Research and Development,104680,Lagos,Average
Daphne Francillo,Male,Training,63370,Lagos,Average
Kissiah Maydway,Male,Accounting,106460,Lagos,Good
Trix Lutsch,Male,Business Development,106400,Lagos,Average
Carolin Fieldstone,Female,Marketing,36920,Kaduna,Average
Dulsea Folkes,Female,Services,42160,Abuja,Average
Corabel Luberto,Female,Human Resources,57820,Kaduna,Average
Nicola Kiely,Female,Business Development,93740,Kaduna,Average
Rey Chartman,Female,Training,93960,Kaduna,Poor
Israel Farndon,Male,Marketing,107220,Lagos,Average
Felipe Parkman,Female,Training,90150,Abuja,Very Good
Margit Kunze,Male,Engineering,94020,Abuja,Good
Oliy Feeney,Female,Marketing,42970,Lagos,Good
Sandie Anthonies,Male,Legal,33410,Kaduna,Average
Anni Dinse,Male,Product Management,119670,Lagos,Average
Gaultiero Have,Male,Accounting,115380,Kaduna,Average
Corinna Griffiths,Male,Support,75010,Kaduna,Good
Cherlyn Barter,Female,Accounting,104120,Abuja,Good
Shea Mix,Male,Research and Development,82680,Lagos,Very Poor
Leonidas Cavaney,Male,Accounting,52250,Kaduna,Very Poor
Tallie Chaikovski,Male,Sales,83190,Lagos,Average
Andria Kimpton,Male,Product Management,69120,Kaduna,Average
Rik Delete,Female,Training,,Kaduna,Good
Bill Luffman,,NULL,41570,Abuja,Average
Codie Gaunson,Male,Accounting,83590,Abuja,Poor
Kaine Padly,Male,Research and Development,107700,Abuja,Very Good
Freda Legan,Female,Sales,102130,Kaduna,Average
Hiram Merkle,Male,Legal,116090,Kaduna,Average
Christos Wintle,Male,Engineering,74360,Lagos,Good
Magnum Locksley,Female,Services,42310,Abuja,Not Rated
Adrianne Gave,Male,Engineering,78440,Lagos,Poor
Warner Carwithan,Female,Support,113760,Kaduna,Good
Appolonia Snook,Female,Services,93880,Kaduna,Average
Alikee Jecock,Female,Legal,85000,Kaduna,Poor
Shay Chasney,Male,Human Resources,72550,Lagos,Average
Trey Jurges,Female,Legal,72360,Kaduna,Poor
Tracy Renad,Female,Accounting,114890,Abuja,Average
Sarajane Peachey,Female,Marketing,107580,Abuja,Poor
Bili Sizey,Male,Research and Development,36040,Abuja,Average
Clement Penhearow,Female,NULL,58310,Kaduna,Average
Shaun Kyrkeman,Male,Product Management,35010,Kaduna,Average
Leena Bruckshaw,Male,Research and Development,74280,Lagos,Average
Benni Simounet,Male,Research and Development,115790,Lagos,Very Poor
Kay Edling,Male,Support,38330,Lagos,Average
Shayne Stegel,Male,Business Development,70270,Abuja,Very Good
Floyd Cowgill,Male,Support,37060,Kaduna,Average
William Reeveley,Male,Training,53870,Abuja,Good
Claretta MacQuist,Male,Human Resources,,Abuja,Average
Inger Chapelhow,Female,Research and Development,84310,Abuja,Good
Brien Boise,Female,Research and Development,58100,Kaduna,Very Good
Pancho De Ortega,Male,Support,99780,Kaduna,Very Good
Edd MacKnockiter,Male,Accounting,119020,Lagos,Poor
Hobie Stockbridge,Male,Engineering,92940,Lagos,Good
Ludovika Plaice,Male,Training,59670,Kaduna,Not Rated
Odessa Pusill,Female,NULL,41000,Lagos,Not Rated
Caro Hainsworth,Male,Marketing,77470,Kaduna,Good
Nicolis Winspire,Male,Engineering,45650,Lagos,Good
Niko MacGille,Female,Engineering,88430,Lagos,Average
Evanne Levens,Male,Human Resources,36880,Kaduna,Good
Trix Lutsch,Male,Business Development,106400,Abuja,Poor
Michale Rolf,Male,Services,111820,Lagos,Very Good
Cecilla Northen,Male,Human Resources,92870,Abuja,Average
Cyrillus Garci,Male,Business Development,100360,Lagos,Average
Dayle O'Luney,Female,Research and Development,46750,Lagos,Average
Gunar Cockshoot,Male,Business Development,48950,Abuja,Good
Silva Monte,Male,Sales,52810,Abuja,Poor
Hans Bucke,Male,Legal,78560,Kaduna,Very Poor
Elia Cockton,Female,Support,75280,Kaduna,Average
Freddy Linford,Female,Training,93130,Kaduna,Poor
Gwenore Scotchmer,Female,Business Development,105290,Kaduna,Very Poor
Maggie Ruberti,Male,Training,108340,Kaduna,Not Rated
Desi Peniman,Female,Legal,31090,Kaduna,Average
Allyce Hincham,Male,Business Development,101420,Lagos,Average
Juanita Trembey,,Business Development,54780,Kaduna,Very Good
Lincoln Cord,Female,Support,63560,Abuja,Very Good
Kerwin Blakely,Male,Research and Development,68480,Lagos,Poor
Granny Spencelayh,Male,Legal,99460,Abuja,Average
Collin Jagson,Male,Services,100420,Abuja,Poor
Monti Burdus,Female,Human Resources,39650,Abuja,Average
Konstantin Timblett,Female,Training,56250,Abuja,Average
Fax Scotland,Female,Marketing,57640,Abuja,Average
Isidora Guido,Male,Engineering,43150,Abuja,Very Good
Erv Havill,Female,Accounting,106080,Abuja,Not Rated
Yoshiko Tamblingson,Male,Sales,29590,Kaduna,Good
Barri Teacy,Female,Accounting,86240,Lagos,Average
Alisha Bloschke,,Product Management,36480,Abuja,Average
Jerrilee Maginot,Male,Business Development,,Kaduna,Average
